"Event ID","Report Number","Officer Badge ID","Officer Dispatched DateTime","Officer Cleared DateTime","Street","City","State","Zip Code","Call Type","Clearance Code","Category"
"2400095087","","7854      ","2024-11-10 14:50:21","2024-11-10 15:07:13","3040 N WESLEYAN BLVD","ROCKY MOUNT","NC","","DIRECTED PATROL","H   ","DIRECTED PATROL"
"2400095087","","7975      ","2024-11-10 14:57:41","2024-11-10 15:26:07","3040 N WESLEYAN BLVD","ROCKY MOUNT","NC","","DIRECTED PATROL","H   ","DIRECTED PATROL"
"2400095088","","7381      ","2024-11-10 14:52:35","2024-11-10 15:48:29","1620 WINDSOR DR","ROCKY MOUNT","NC","","DIRECTED PATROL","C   ","DIRECTED PATROL"
"2400095088","","8192      ","2024-11-10 14:52:35","2024-11-10 15:48:29","1620 WINDSOR DR","ROCKY MOUNT","NC","","DIRECTED PATROL","C   ","DIRECTED PATROL"
"2400095089","","7432      ","2024-11-10 14:55:48","2024-11-10 15:10:53","75 ELY DR","ROCKY MOUNT","NC","","DISORDERLIES / IN PROGRESS/ JO","C   ","DISORDERLIES / IN PROGRESS/ JO"
"2400095089","","8420      ","2024-11-10 14:55:47","2024-11-10 15:10:57","75 ELY DR","ROCKY MOUNT","NC","","DISORDERLIES / IN PROGRESS/ JO","C   ","DISORDERLIES / IN PROGRESS/ JO"
"2400095089","","6441      ","2024-11-10 14:57:41","2024-11-10 15:03:48","75 ELY DR","ROCKY MOUNT","NC","","DISORDERLIES / IN PROGRESS/ JO","C   ","DISORDERLIES / IN PROGRESS/ JO"
"2400095090","","7170      ","2024-11-10 15:02:33","2024-11-10 15:11:21","737 ENGLISH RD","ROCKY MOUNT","NC","","UNWANTED PARTY / TRESPASSING","H   ","UNWANTED PARTY / TRESPASSING"
"2400095090","","7432      ","2024-11-10 15:11:01","2024-11-10 15:19:31","737 ENGLISH RD","ROCKY MOUNT","NC","","UNWANTED PARTY / TRESPASSING","H   ","UNWANTED PARTY / TRESPASSING"
"2400095090","","7777      ","2024-11-10 15:02:33","2024-11-10 15:11:25","737 ENGLISH RD","ROCKY MOUNT","NC","","UNWANTED PARTY / TRESPASSING","H   ","UNWANTED PARTY / TRESPASSING"
"2400095090","","8420      ","2024-11-10 15:11:12","2024-11-10 15:19:31","737 ENGLISH RD","ROCKY MOUNT","NC","","UNWANTED PARTY / TRESPASSING","H   ","UNWANTED PARTY / TRESPASSING"
"2400095090","","8535      ","2024-11-10 15:02:33","2024-11-10 15:11:21","737 ENGLISH RD","ROCKY MOUNT","NC","","UNWANTED PARTY / TRESPASSING","H   ","UNWANTED PARTY / TRESPASSING"
"2400095091","","7876      ","2024-11-10 15:02:53","2024-11-10 15:19:13","127 DALEWOOD DR","ROCKY MOUNT","NC","","DISORDERLIES / IN PROGRESS/ JO","C   ","DISORDERLIES / IN PROGRESS/ JO"
"2400095091","","8406      ","2024-11-10 15:02:58","2024-11-10 15:14:33","127 DALEWOOD DR","ROCKY MOUNT","NC","","DISORDERLIES / IN PROGRESS/ JO","C   ","DISORDERLIES / IN PROGRESS/ JO"
"2400095092","","7799      ","2024-11-10 15:06:58","2024-11-10 16:18:17","1799 HAMMOND ST/CO AH BAR ST","ROCKY MOUNT","NC","","TRAFFIC STOP","B   ","TRAFFIC STOP"
